"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","62","Articles of apparel and clothing accessories, not knitted or crocheted","A","Annual","A","Annual","PCT","Percent","2017","","","","15.8917410714286"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","62","Articles of apparel and clothing accessories, not knitted or crocheted","A","Annual","A","Annual","PCT","Percent","2018","","","","15.8917410714286"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","63","Other made up textile articles; sets; worn clothing and worn textile articles; rags","A","Annual","A","Annual","PCT","Percent","2017","","","","14.6776556776557"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","63","Other made up textile articles; sets; worn clothing and worn textile articles; rags","A","Annual","A","Annual","PCT","Percent","2018","","","","14.6776556776557"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","64","Footwear, gaiters and the like; parts of such articles","A","Annual","A","Annual","PCT","Percent","2017","","","","19.32"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","64","Footwear, gaiters and the like; parts of such articles","A","Annual","A","Annual","PCT","Percent","2018","","","","19.32"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","65","Headgear and parts thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","17.3333333333333"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","65","Headgear and parts thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","17.3333333333333"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","66","Umbrellas, sun umbrellas, walkingsticks, seatsticks, whips, ridingcrops and parts thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","66","Umbrellas, sun umbrellas, walkingsticks, seatsticks, whips, ridingcrops and parts thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","67","Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair","A","Annual","A","Annual","PCT","Percent","2017","","","","21.5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","67","Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair","A","Annual","A","Annual","PCT","Percent","2018","","","","21.5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","68","Articles of stone, plaster, cement, asbestos, mica or similar materials","A","Annual","A","Annual","PCT","Percent","2017","","","","12.8284013605442"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","68","Articles of stone, plaster, cement, asbestos, mica or similar materials","A","Annual","A","Annual","PCT","Percent","2018","","","","12.8284013605442"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","69","Ceramic products","A","Annual","A","Annual","PCT","Percent","2017","","","","13.8166666666667"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","69","Ceramic products","A","Annual","A","Annual","PCT","Percent","2018","","","","13.8166666666667"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","70","Glass and glassware","A","Annual","A","Annual","PCT","Percent","2017","","","","13.6614583333333"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","70","Glass and glassware","A","Annual","A","Annual","PCT","Percent","2018","","","","13.6614583333333"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","71","Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin","A","Annual","A","Annual","PCT","Percent","2018","","","","9.91446540880503"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","71","Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin","A","Annual","A","Annual","PCT","Percent","2017","","","","9.91446540880503"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","72","Iron and steel","A","Annual","A","Annual","PCT","Percent","2017","","","","5.02395209580838"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","72","Iron and steel","A","Annual","A","Annual","PCT","Percent","2018","","","","5.02395209580838"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","73","Articles of iron or steel","A","Annual","A","Annual","PCT","Percent","2018","","","","9.82782258064516"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","73","Articles of iron or steel","A","Annual","A","Annual","PCT","Percent","2017","","","","9.82782258064516"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","74","Copper and articles thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","6.328"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","74","Copper and articles thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","6.328"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","75","Nickel and articles thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","4.87254901960784"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","75","Nickel and articles thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","4.87254901960784"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","76","Aluminium and articles thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","8.78571428571429"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","76","Aluminium and articles thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","8.78571428571429"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","78","Lead and articles thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","4.3125"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","78","Lead and articles thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","4.3125"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","79","Zinc and articles thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","4.5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","79","Zinc and articles thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","4.5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","80","Tin and articles thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","4.7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","80","Tin and articles thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","4.7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","81","Other base metals; cermets; articles thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","5.2"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","81","Other base metals; cermets; articles thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","5.2"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","A","Annual","A","Annual","PCT","Percent","2017","","","","10.77109375"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","A","Annual","A","Annual","PCT","Percent","2018","","","","10.77109375"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","83","Miscellaneous articles of base metal","A","Annual","A","Annual","PCT","Percent","2018","","","","11.1194444444444"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","83","Miscellaneous articles of base metal","A","Annual","A","Annual","PCT","Percent","2017","","","","11.1194444444444"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","7.95415903958483"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","7.97633967023502"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles","A","Annual","A","Annual","PCT","Percent","2017","","","","8.66774275493025"
